geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E01007753,141,197,100,127,262,206,253,79,180
E01008019,231,260,214,290,303,205,225,59,79
E01008023,253,261,254,419,419,220,175,43,66
E01008024,233,201,164,278,312,220,177,76,125
E01008025,253,237,199,298,328,256,212,80,158
E01008027,195,166,170,222,246,128,181,74,150
E01013592,143,141,139,187,215,193,215,62,106
E01013593,126,150,113,154,217,176,237,86,119
E01013594,97,130,100,109,174,183,255,109,196
E01013597,141,168,166,147,210,170,182,96,156
E01013598,171,225,173,196,258,168,165,61,125
E01013599,108,146,121,140,192,188,255,107,131
E01013810,323,219,312,299,202,154,78,25,45
E01013811,202,175,439,246,190,95,58,17,33
E01013812,286,208,422,284,183,127,50,22,42
E01013813,87,476,913,247,178,163,63,19,53
E01013814,65,297,1025,289,160,115,46,11,16
E01013815,59,226,1000,176,144,94,43,20,42
E01013816,90,450,1442,196,116,111,90,24,39
E01013817,469,239,273,241,194,109,87,37,58
E01013818,391,401,246,211,230,147,76,30,42
E01013819,293,273,239,228,205,185,140,50,107
E01013820,358,331,261,258,282,130,90,28,43
E01013821,355,301,257,222,226,143,103,24,48
E01013822,390,292,254,232,219,157,93,32,36
E01013823,332,357,239,269,269,161,126,33,67
E01013824,355,251,248,226,213,153,79,27,54
E01013825,337,316,267,258,301,155,105,44,67
E01013826,488,357,297,281,248,150,66,29,31
E01013827,255,233,229,201,195,182,91,43,52
E01013828,197,155,272,314,276,155,115,52,110
E01013829,195,188,262,276,266,176,134,44,84
E01013830,171,233,216,186,269,212,174,83,125
E01013831,170,164,173,239,256,189,178,69,115
E01013832,179,337,286,241,258,178,145,44,101
E01013833,198,200,185,172,245,137,123,32,49
E01013834,290,250,231,203,234,143,114,38,97
E01013835,224,224,226,213,254,189,128,45,144
E01013836,308,207,338,346,275,142,137,57,66
E01013837,215,204,297,322,266,208,128,30,102
E01013838,214,346,255,240,267,166,151,64,97
E01013839,273,162,330,360,233,187,103,44,65
E01013840,310,203,451,491,305,216,125,29,65
E01013841,260,183,325,312,238,140,81,17,27
E01013842,318,195,405,336,190,117,64,27,23
E01013843,132,144,444,272,175,120,81,47,182
E01013844,216,149,379,305,179,126,60,19,40
E01013845,332,201,318,359,228,112,57,30,51
E01013846,216,255,545,269,186,112,67,34,54
E01013847,140,216,381,194,182,124,78,15,43
E01013849,244,220,221,212,198,140,156,58,92
E01013850,146,194,179,178,235,157,126,83,164
E01013851,215,221,255,191,212,162,154,55,106
E01013852,164,181,214,183,244,166,144,105,149
E01013853,156,158,185,178,218,168,128,109,175
E01013854,190,199,191,209,217,186,90,48,99
E01013855,354,258,263,249,164,153,98,28,35
E01013856,262,239,263,226,217,168,108,42,91
E01013858,197,234,178,193,209,156,119,49,122
E01013859,125,122,139,171,197,194,241,82,183
E01013860,185,215,128,171,222,174,196,89,197
E01013861,184,185,128,125,209,202,196,88,203
E01013862,248,297,189,162,248,157,118,41,113
E01013863,157,222,177,198,224,164,146,43,133
E01013864,313,182,312,227,210,148,96,15,27
E01013865,200,207,193,167,209,161,146,66,203
E01013866,191,235,152,142,245,175,152,48,159
E01013867,306,264,230,207,249,162,75,34,67
E01013868,222,279,145,132,229,153,170,60,182
E01013870,229,202,538,395,208,170,138,48,90
E01013871,238,196,233,241,223,187,173,78,142
E01013872,251,210,355,341,228,178,113,46,76
E01013873,247,362,697,342,179,126,82,23,34
E01013874,140,134,432,244,212,153,94,34,33
E01013875,153,184,158,173,239,189,197,40,38
E01013876,261,243,294,250,287,150,138,56,118
E01013877,265,200,190,178,202,142,121,42,54
E01013878,251,184,211,182,174,118,100,28,48
E01013879,248,150,201,165,183,142,90,37,77
E01013880,229,198,178,194,170,166,178,58,162
E01013881,256,198,208,186,229,148,106,59,115
E01013882,176,187,172,171,206,170,145,49,156
E01013883,194,205,245,183,223,199,165,46,64
E01013884,207,186,215,163,203,151,132,30,63
E01013885,251,241,230,252,248,170,136,38,96
E01013886,156,169,201,175,259,186,169,54,81
E01013887,106,169,125,157,222,241,300,96,118
E01013888,163,169,164,200,214,195,171,70,161
E01013889,180,199,168,197,249,219,219,84,138
E01013890,208,187,212,215,262,188,153,64,57
E01013891,231,214,210,232,264,226,162,48,98
E01013892,92,154,138,136,193,182,260,85,174
E01013893,265,183,245,196,184,118,112,22,24
E01013894,139,167,140,169,174,227,241,98,121
E01013895,132,167,128,147,206,237,153,89,248
E01013896,163,170,188,170,180,164,84,43,145
E01013898,113,561,373,98,134,143,74,26,104
E01013901,161,162,171,231,235,199,154,54,91
E01013902,135,123,197,193,206,202,170,76,161
E01013903,110,175,170,114,185,184,136,40,135
E01013913,204,224,231,212,255,243,186,77,130
E01013914,249,215,218,212,239,217,195,72,138
E01013915,183,202,188,173,217,169,173,77,178
E01013916,241,218,233,227,216,141,106,40,81
E01013917,247,231,291,307,292,163,134,37,50
E01013918,323,223,410,407,246,148,99,33,43
E01013919,305,200,534,422,267,155,86,29,50
E01013920,254,180,494,447,299,230,169,66,102
E01013921,468,278,449,413,220,177,95,28,73
E01013924,34,133,985,162,117,89,49,30,49
E01013926,101,172,861,173,118,114,66,19,37
E01013928,113,105,939,221,75,60,34,11,24
E01013929,204,266,239,259,288,183,181,70,227
E01013930,391,254,291,363,255,185,118,51,72
E01013931,188,238,177,178,206,186,204,85,228
E01013932,230,227,195,226,229,199,210,73,155
E01013933,312,269,327,269,265,152,113,37,96
E01013934,176,193,193,194,213,203,147,57,155
E01013935,145,104,193,207,262,189,187,77,162
E01013936,211,230,454,421,300,262,156,51,80
E01013937,206,159,301,254,277,214,140,51,138
E01013938,171,149,263,226,276,170,133,41,119
E01013939,140,129,238,258,254,204,160,47,105
E01013940,274,283,240,354,267,170,77,30,66
E01013941,98,231,370,286,217,163,126,42,105
E01013942,308,312,291,365,316,207,164,38,112
E01013943,107,266,581,317,173,165,86,18,107
E01013944,259,210,315,280,222,184,123,42,93
E01013945,211,515,465,262,176,107,53,17,37
E01013947,252,364,605,291,192,123,66,23,84
E01013948,138,120,328,262,186,129,72,15,31
E01013953,65,876,2084,126,65,34,11,10,27
E01013954,180,218,214,206,180,159,82,32,68
E01013957,265,178,316,284,203,133,85,28,100
E01013958,305,212,385,246,245,138,128,57,90
E01013959,308,232,287,285,267,171,121,76,87
E01013960,239,208,220,270,234,176,127,30,65
E01013961,175,354,1120,205,161,112,77,41,58
E01013962,231,231,304,326,259,172,132,41,116
E01013963,214,218,203,198,236,194,127,37,142
E01013964,245,215,186,223,279,205,172,53,101
E01013965,178,233,208,201,223,166,119,41,114
E01013966,195,233,191,205,240,163,94,30,65
E01013967,146,134,451,338,272,174,140,39,117
E01013968,88,92,102,139,150,190,204,65,274
E01013969,138,119,334,382,238,168,130,40,61
E01013970,199,146,266,328,278,170,72,32,63
E01013971,154,93,246,345,243,195,115,47,95
E01013972,141,130,290,291,228,152,115,41,67
E01013973,97,1974,1324,192,94,75,60,20,44
E01013974,97,478,627,144,164,140,167,68,186
E01013975,99,1037,592,120,140,106,137,51,105
E01013976,254,183,408,297,185,142,83,24,38
E01013977,257,189,201,266,275,255,177,78,193
E01013978,231,197,259,276,205,194,127,58,135
E01013979,241,199,178,229,267,189,126,54,117
E01013980,189,203,106,212,288,204,180,74,173
